correlation,k1,k2,top_X_percent,probability
-0.1,450,5,0.060000000000000005,1.0
-0.1,450,5,0.06999999999999999,1.0
-0.1,450,5,0.08,1.0
-0.1,450,5,0.09,1.0
-0.1,450,5,0.09999999999999999,1.0
-0.1,450,5,0.11,1.0
-0.1,450,5,0.12,1.0
-0.1,450,5,0.13,1.0
-0.1,450,5,0.14,1.0
-0.1,450,6,0.01,0.0554
-0.1,450,6,0.02,0.611
-0.1,450,6,0.03,0.9374
-0.1,450,6,0.04,0.9961
-0.1,450,6,0.05,0.9998
-0.1,450,6,0.060000000000000005,1.0
-0.1,450,6,0.06999999999999999,1.0
-0.1,450,6,0.08,1.0
-0.1,450,6,0.09,1.0
-0.1,450,6,0.09999999999999999,1.0
-0.1,450,6,0.11,1.0
-0.1,450,6,0.12,1.0
-0.1,450,6,0.13,1.0
-0.1,450,6,0.14,1.0
-0.1,450,7,0.01,0.0165
-0.1,450,7,0.02,0.4359
-0.1,450,7,0.03,0.8686
-0.1,450,7,0.04,0.9853
-0.1,450,7,0.05,0.9994
-0.1,450,7,0.060000000000000005,1.0
-0.1,450,7,0.06999999999999999,1.0
-0.1,450,7,0.08,1.0
-0.1,450,7,0.09,1.0
-0.1,450,7,0.09999999999999999,1.0
-0.1,450,7,0.11,1.0
-0.1,450,7,0.12,1.0
